BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
12:D1:A5:D5:F5:86, 2025-04-13 02:29:01, 2025-04-13 02:29:01,-76,1, (not associated) ,,,,,,,,,
28:C5:D2:4E:BD:E9, 2025-04-13 01:49:15, 2025-04-13 02:28:20,-74,2, (not associated) ,Amity-wifi,,,,,,,,
B0:C2:C7:49:3E:36, 2025-04-13 02:23:51, 2025-04-13 02:27:59,-72,3, (not associated) ,Amity-wifi,,,,,,,,
08:25:25:B2:CE:5C, 2025-04-13 02:27:57, 2025-04-13 02:27:57,-80,1, (not associated) ,,,,,,,,,
4E:72:A8:5F:1C:3F, 2025-04-13 02:27:44, 2025-04-13 02:27:44,-74,2, (not associated) ,,,,,,,,,
AE:31:26:5D:3E:9C, 2025-04-13 02:26:10, 2025-04-13 02:26:10,-78,1, (not associated) ,,,,,,,,,
D6:77:22:36:C2:CA, 2025-04-13 02:24:57, 2025-04-13 02:24:57,-80,2, (not associated) ,,,,,,,,,
80:A5:89:6A:2D:7B, 2025-04-13 01:42:41, 2025-04-13 02:23:12,-82,4, D8:44:89:D4:FB:38,,,,,,,,,
F8:FE:5E:E6:87:50, 2025-04-13 01:54:56, 2025-04-13 02:23:11,-84,3, 66:35:F4:91:2D:B1,,,,,,,,,
E0:0A:F6:91:86:69, 2025-04-13 02:22:34, 2025-04-13 02:22:34,-80,2, (not associated) ,,,,,,,,,
92:6F:05:77:16:B9, 2025-04-13 02:21:09, 2025-04-13 02:21:09,-78,1, (not associated) ,,,,,,,,,
D2:0F:2D:A6:B7:9B, 2025-04-13 02:20:43, 2025-04-13 02:20:46,-70,5, 20:23:51:A6:2B:78,,,,,,,,,
3E:4D:81:0E:FD:CC, 2025-04-13 02:19:18, 2025-04-13 02:19:18,-42,1, (not associated) ,,,,,,,,,
D8:80:83:3F:98:C3, 2025-04-13 01:47:27, 2025-04-13 02:18:33,-48,30, (not associated) ,Amity-wifi,,,,,,,,
8E:13:DE:2F:26:11, 2025-04-13 02:15:18, 2025-04-13 02:15:18,-34,2, (not associated) ,,,,,,,,,
98:AF:65:AD:CB:EF, 2025-04-13 02:13:30, 2025-04-13 02:13:30,-76,1, (not associated) ,,,,,,,,,
8A:1A:7C:DE:B5:76, 2025-04-13 02:13:17, 2025-04-13 02:13:18,-38,4, (not associated) ,,,,,,,,,
12:B2:93:52:D5:4B, 2025-04-13 02:13:07, 2025-04-13 02:13:07,-78,1, (not associated) ,,,,,,,,,
D2:57:D4:3A:AD:55, 2025-04-13 02:12:42, 2025-04-13 02:12:42,-56,1, (not associated) ,,,,,,,,,
82:92:B4:F8:79:16, 2025-04-13 02:12:34, 2025-04-13 02:12:34,-62,1, (not associated) ,,,,,,,,,
3C:19:5E:5E:B4:00, 2025-04-13 02:04:01, 2025-04-13 02:10:43,-84,2, 40:AE:30:56:31:24,,,,,,,,,
F2:D1:C1:25:1C:7B, 2025-04-13 02:07:44, 2025-04-13 02:07:44,-74,1, (not associated) ,,,,,,,,,
E6:AD:F6:F3:42:81, 2025-04-13 02:07:17, 2025-04-13 02:07:17,-76,3, (not associated) ,,,,,,,,,
52:88:8B:1C:97:C4, 2025-04-13 02:06:07, 2025-04-13 02:06:07,-84,1, (not associated) ,,,,,,,,,
7C:B2:7D:9C:01:D5, 2025-04-13 01:44:38, 2025-04-13 02:04:54,-84,2, (not associated) ,Amity-wifi,,,,,,,,
7E:31:24:DC:E9:C5, 2025-04-13 02:04:21, 2025-04-13 02:04:21,-1,1, 66:35:F4:91:2D:B1,,,,,,,,,
14:AC:60:38:BB:F1, 2025-04-13 01:59:27, 2025-04-13 01:59:27,-80,1, (not associated) ,,,,,,,,,
2C:A7:EF:A0:8E:CF, 2025-04-13 01:58:18, 2025-04-13 01:58:18,-78,1, (not associated) ,,,,,,,,,
FA:DE:30:B2:F7:94, 2025-04-13 01:54:54, 2025-04-13 01:54:54,-80,2, (not associated) ,Broo,,,,,,,,
CE:8C:5D:90:F9:06, 2025-04-13 01:54:19, 2025-04-13 01:54:19,-72,1, (not associated) ,,,,,,,,,
D0:49:7C:8F:B5:68, 2025-04-13 01:52:52, 2025-04-13 01:52:53,-80,2, (not associated) ,,,,,,,,,
E6:17:E4:BE:C2:19, 2025-04-13 01:51:18, 2025-04-13 01:51:18,-74,1, (not associated) ,,,,,,,,,
BC:F7:30:A4:F3:77, 2025-04-13 01:49:03, 2025-04-13 01:49:03,-82,1, (not associated) ,,,,,,,,,
1E:87:C4:67:C0:0D, 2025-04-13 01:48:26, 2025-04-13 01:48:26,-76,1, (not associated) ,,,,,,,,,
DE:42:8F:45:0C:41, 2025-04-13 01:46:13, 2025-04-13 01:46:13,-74,3, (not associated) ,,,,,,,,,
08:02:3C:5D:06:72, 2025-04-13 01:46:04, 2025-04-13 01:46:04,-80,1, (not associated) ,,,,,,,,,
42:20:46:17:C5:62, 2025-04-13 01:45:37, 2025-04-13 01:45:37,-58,2, (not associated) ,,,,,,,,,
8E:03:C8:4B:FA:CA, 2025-04-13 01:44:13, 2025-04-13 01:44:13,-78,3, (not associated) ,,,,,,,,,
